objectid,filename,title,actnumber,billnumber,date,format
cdm112995,1976pa306_ billanalysis3_20_1975.pdf,bill summary,1976-PA-306,1975-HB-4580,1975-03-20,application/pdf
cdm112952,1976pa306housejournalentries.pdf,bill analysis,1976-PA-306,1975-HB-4580,1976,application/pdf
cdm112941,1976pa306_ billanalysis1975_05_29.pdf,bill analysis,1976-PA-306,1975-HB-4580,1975-05-29,application/pdf
cdm112997,1976pa306_enrolled bill.pdf,enrolled bill,1976-PA-306,1975-HB-4580,1976,application/pdf
cdm112935,1976pa306_public act.pdf,public act,1976-PA-306,1975-HB-4580,1976,application/pdf
cdm112996,1976pa306_billanalysis1976_06_14.pdf,bill analysis,1976-PA-306,1975-HB-4580,1976-06-14,application/pdf
cdm112998,1976pa306_public act.pdf,bill analysis,1976-PA-306,1975-HB-4580,1975-03-12,application/pdf
cdm112932,1976pa306 bill analysis1975_04_09.pdf,bill analysis,1976-PA-306,1975-HB-4580,1975-04-09,application/pdf
cdm98981,1976pa300_billanalysis1975_10_14 .pdf,bill analysis,1976-PA-300,1975-HB-4957,1975-10-14,application/pdf
cdm98980,1976pa300-billanalysis1975_06_20.pdf,bill analysis,1976-PA-300,1975-HB-4957,1975-06-20,application/pdf
cdm98982,1976pa300billanalysis1975_12_09.pdf,bill analysis,1976-PA-300,1975-HB-4957,1976-03-23,application/pdf
cdm98983,1976pa300_billanalysis1976_12_22.pdf,bill analysis,1976-PA-300,1975-HB-4957,1976-12-22,application/pdf
cdm110402,1976pa222_billanalysis1975_02_14.pdf,bill analysis,1976-PA-222,1975-HB-4038,1975-02-14,application/pdf